participant,group,mintsp,language,do,animacy,item,expected,response,education,spday,roday,residence
20m,m,60,sp,DP,Inan,spDPInan2,1,0,1,100,0,NA
20m,m,60,sp,DP,Inan,spDPInan3,1,0,1,100,0,NA
20m,m,60,sp,DP,Inan,spDPInan4,1,0,1,100,0,NA
20m,m,60,sp,DP,Inan,spDPInan5,1,0,1,100,0,NA
20m,m,60,sp,Pron,An,spPronAn1,1,1,1,100,0,NA
20m,m,60,sp,Pron,An,spPronAn2,1,1,1,100,0,NA
20m,m,60,sp,Pron,An,spPronAn3,1,1,1,100,0,NA
20m,m,60,sp,Pron,An,spPronAn4,1,1,1,100,0,NA
20m,m,60,sp,Pron,An,spPronAn5,1,1,1,100,0,NA
20m,m,60,sp,Pron,Inan,spPronInan1,1,0,1,100,0,NA
20m,m,60,sp,Pron,Inan,spPronInan2,1,0,1,100,0,NA
20m,m,60,sp,Pron,Inan,spPronInan3,1,0,1,100,0,NA
20m,m,60,sp,Pron,Inan,spPronInan4,1,0,1,100,0,NA
20m,m,60,sp,Pron,Inan,spPronInan5,1,0,1,100,0,NA
20m,m,60,sp,AGC,Inan,spAGCInan1,1,1,1,100,0,NA
20m,m,60,sp,AGC,Inan,spAGCInan2,1,1,1,100,0,NA
20m,m,60,sp,AGC,Inan,spAGCInan3,1,1,1,100,0,NA
20m,m,60,sp,AGC,Inan,spAGCInan4,1,1,1,100,0,NA
20m,m,60,sp,AGC,Inan,spAGCInan5,1,1,1,100,0,NA
21m,m,61,sp,DP,An,spDPAn1,1,1,1,100,0,NA
21m,m,61,sp,DP,An,spDPAn2,1,1,1,100,0,NA
21m,m,61,sp,DP,An,spDPAn3,1,1,1,100,0,NA
21m,m,61,sp,DP,An,spDPAn4,1,1,1,100,0,NA
21m,m,61,sp,DP,An,spDPAn5,1,1,1,100,0,NA
21m,m,61,sp,DP,Inan,spDPInan1,1,0,1,100,0,NA
21m,m,61,sp,DP,Inan,spDPInan2,1,0,1,100,0,NA
21m,m,61,sp,DP,Inan,spDPInan3,1,0,1,100,0,NA
21m,m,61,sp,DP,Inan,spDPInan4,1,0,1,100,0,NA
21m,m,61,sp,DP,Inan,spDPInan5,1,0,1,100,0,NA
21m,m,61,sp,Pron,An,spPronAn1,1,1,1,100,0,NA
21m,m,61,sp,Pron,An,spPronAn2,1,1,1,100,0,NA
21m,m,61,sp,Pron,An,spPronAn3,0,0,1,100,0,NA
21m,m,61,sp,Pron,An,spPronAn4,1,1,1,100,0,NA
21m,m,61,sp,Pron,An,spPronAn5,1,1,1,100,0,NA
21m,m,61,sp,Pron,Inan,spPronInan1,1,0,1,100,0,NA
21m,m,61,sp,Pron,Inan,spPronInan2,1,0,1,100,0,NA
21m,m,61,sp,Pron,Inan,spPronInan3,1,0,1,100,0,NA
21m,m,61,sp,Pron,Inan,spPronInan4,1,0,1,100,0,NA
21m,m,61,sp,Pron,Inan,spPronInan5,1,0,1,100,0,NA
21m,m,61,sp,AGC,Inan,spAGCInan1,1,1,1,100,0,NA
21m,m,61,sp,AGC,Inan,spAGCInan2,1,1,1,100,0,NA
21m,m,61,sp,AGC,Inan,spAGCInan3,1,1,1,100,0,NA
21m,m,61,sp,AGC,Inan,spAGCInan4,0,0,1,100,0,NA
21m,m,61,sp,AGC,Inan,spAGCInan5,0,0,1,100,0,NA
22m,m,61,sp,DP,An,spDPAn1,1,1,1,100,0,NA
22m,m,61,sp,DP,An,spDPAn2,1,1,1,100,0,NA
22m,m,61,sp,DP,An,spDPAn3,1,1,1,100,0,NA
22m,m,61,sp,DP,An,spDPAn4,1,1,1,100,0,NA
22m,m,61,sp,DP,An,spDPAn5,1,1,1,100,0,NA
22m,m,61,sp,DP,Inan,spDPInan1,1,0,1,100,0,NA
22m,m,61,sp,DP,Inan,spDPInan2,1,0,1,100,0,NA
22m,m,61,sp,DP,Inan,spDPInan3,1,0,1,100,0,NA
22m,m,61,sp,DP,Inan,spDPInan4,1,0,1,100,0,NA
22m,m,61,sp,DP,Inan,spDPInan5,1,0,1,100,0,NA
22m,m,61,sp,Pron,An,spPronAn1,1,1,1,100,0,NA
22m,m,61,sp,Pron,An,spPronAn2,1,1,1,100,0,NA
22m,m,61,sp,Pron,An,spPronAn3,1,1,1,100,0,NA
22m,m,61,sp,Pron,An,spPronAn4,1,1,1,100,0,NA
22m,m,61,sp,Pron,An,spPronAn5,1,1,1,100,0,NA
22m,m,61,sp,Pron,Inan,spPronInan1,1,0,1,100,0,NA
22m,m,61,sp,Pron,Inan,spPronInan2,1,0,1,100,0,NA
22m,m,61,sp,Pron,Inan,spPronInan3,1,0,1,100,0,NA
22m,m,61,sp,Pron,Inan,spPronInan4,1,0,1,100,0,NA
22m,m,61,sp,Pron,Inan,spPronInan5,1,0,1,100,0,NA
22m,m,61,sp,AGC,Inan,spAGCInan1,1,1,1,100,0,NA
22m,m,61,sp,AGC,Inan,spAGCInan2,1,1,1,100,0,NA
22m,m,61,sp,AGC,Inan,spAGCInan3,1,1,1,100,0,NA
22m,m,61,sp,AGC,Inan,spAGCInan4,0,0,1,100,0,NA
22m,m,61,sp,AGC,Inan,spAGCInan5,0,0,1,100,0,NA
23m,m,62,sp,DP,An,spDPAn1,1,1,1,100,0,NA
23m,m,62,sp,DP,An,spDPAn2,1,1,1,100,0,NA
23m,m,62,sp,DP,An,spDPAn3,1,1,1,100,0,NA
23m,m,62,sp,DP,An,spDPAn4,1,1,1,100,0,NA
23m,m,62,sp,DP,An,spDPAn5,1,1,1,100,0,NA
23m,m,62,sp,DP,Inan,spDPInan1,1,0,1,100,0,NA
23m,m,62,sp,DP,Inan,spDPInan2,1,0,1,100,0,NA
23m,m,62,sp,DP,Inan,spDPInan3,1,0,1,100,0,NA
23m,m,62,sp,DP,Inan,spDPInan4,1,0,1,100,0,NA
23m,m,62,sp,DP,Inan,spDPInan5,1,0,1,100,0,NA
23m,m,62,sp,Pron,An,spPronAn1,1,1,1,100,0,NA
23m,m,62,sp,Pron,An,spPronAn2,1,1,1,100,0,NA
23m,m,62,sp,Pron,An,spPronAn3,1,1,1,100,0,NA
23m,m,62,sp,Pron,An,spPronAn4,1,1,1,100,0,NA
23m,m,62,sp,Pron,An,spPronAn5,1,1,1,100,0,NA
23m,m,62,sp,Pron,Inan,spPronInan1,1,0,1,100,0,NA
23m,m,62,sp,Pron,Inan,spPronInan2,1,0,1,100,0,NA
23m,m,62,sp,Pron,Inan,spPronInan3,1,0,1,100,0,NA
23m,m,62,sp,Pron,Inan,spPronInan4,1,0,1,100,0,NA
23m,m,62,sp,Pron,Inan,spPronInan5,1,0,1,100,0,NA
23m,m,62,sp,AGC,Inan,spAGCInan1,1,1,1,100,0,NA
23m,m,62,sp,AGC,Inan,spAGCInan2,1,1,1,100,0,NA
23m,m,62,sp,AGC,Inan,spAGCInan3,1,1,1,100,0,NA
23m,m,62,sp,AGC,Inan,spAGCInan4,0,0,1,100,0,NA
23m,m,62,sp,AGC,Inan,spAGCInan5,0,0,1,100,0,NA
24m,m,66,sp,DP,An,spDPAn1,1,1,5,100,0,NA
24m,m,66,sp,DP,An,spDPAn2,1,1,5,100,0,NA
24m,m,66,sp,DP,An,spDPAn3,1,1,5,100,0,NA
24m,m,66,sp,DP,An,spDPAn4,1,1,5,100,0,NA
24m,m,66,sp,DP,An,spDPAn5,1,1,5,100,0,NA
24m,m,66,sp,DP,Inan,spDPInan1,1,0,5,100,0,NA
24m,m,66,sp,DP,Inan,spDPInan2,1,0,5,100,0,NA
24m,m,66,sp,DP,Inan,spDPInan3,1,0,5,100,0,NA
24m,m,66,sp,DP,Inan,spDPInan4,1,0,5,100,0,NA
24m,m,66,sp,DP,Inan,spDPInan5,1,0,5,100,0,NA
24m,m,66,sp,Pron,An,spPronAn1,1,1,5,100,0,NA
24m,m,66,sp,Pron,An,spPronAn2,1,1,5,100,0,NA
24m,m,66,sp,Pron,An,spPronAn3,1,1,5,100,0,NA
24m,m,66,sp,Pron,An,spPronAn4,1,1,5,100,0,NA
24m,m,66,sp,Pron,An,spPronAn5,1,1,5,100,0,NA
24m,m,66,sp,Pron,Inan,spPronInan1,1,0,5,100,0,NA
24m,m,66,sp,Pron,Inan,spPronInan2,1,0,5,100,0,NA
24m,m,66,sp,Pron,Inan,spPronInan3,1,0,5,100,0,NA
24m,m,66,sp,Pron,Inan,spPronInan4,1,0,5,100,0,NA
24m,m,66,sp,Pron,Inan,spPronInan5,1,0,5,100,0,NA
24m,m,66,sp,AGC,Inan,spAGCInan1,1,1,5,100,0,NA
24m,m,66,sp,AGC,Inan,spAGCInan2,1,1,5,100,0,NA
24m,m,66,sp,AGC,Inan,spAGCInan3,1,1,5,100,0,NA
24m,m,66,sp,AGC,Inan,spAGCInan4,0,0,5,100,0,NA
24m,m,66,sp,AGC,Inan,spAGCInan5,0,0,5,100,0,NA
25m,m,64,sp,DP,An,spDPAn1,1,1,4,100,0,NA
25m,m,64,sp,DP,An,spDPAn2,1,1,4,100,0,NA
25m,m,64,sp,DP,An,spDPAn3,1,1,4,100,0,NA
25m,m,64,sp,DP,An,spDPAn4,1,1,4,100,0,NA
25m,m,64,sp,DP,An,spDPAn5,1,1,4,100,0,NA
25m,m,64,sp,DP,Inan,spDPInan1,1,0,4,100,0,NA
25m,m,64,sp,DP,Inan,spDPInan2,1,0,4,100,0,NA
25m,m,64,sp,DP,Inan,spDPInan3,1,0,4,100,0,NA
25m,m,64,sp,DP,Inan,spDPInan4,1,0,4,100,0,NA
25m,m,64,sp,DP,Inan,spDPInan5,1,0,4,100,0,NA
25m,m,64,sp,Pron,An,spPronAn1,1,1,4,100,0,NA
25m,m,64,sp,Pron,An,spPronAn2,1,1,4,100,0,NA
25m,m,64,sp,Pron,An,spPronAn3,1,1,4,100,0,NA
25m,m,64,sp,Pron,An,spPronAn4,1,1,4,100,0,NA
25m,m,64,sp,Pron,An,spPronAn5,1,1,4,100,0,NA
25m,m,64,sp,Pron,Inan,spPronInan1,1,0,4,100,0,NA
25m,m,64,sp,Pron,Inan,spPronInan2,1,0,4,100,0,NA
25m,m,64,sp,Pron,Inan,spPronInan3,1,0,4,100,0,NA
25m,m,64,sp,Pron,Inan,spPronInan4,1,0,4,100,0,NA
25m,m,64,sp,Pron,Inan,spPronInan5,1,0,4,100,0,NA
25m,m,64,sp,AGC,Inan,spAGCInan1,1,1,4,100,0,NA
25m,m,64,sp,AGC,Inan,spAGCInan2,1,1,4,100,0,NA
25m,m,64,sp,AGC,Inan,spAGCInan3,1,1,4,100,0,NA
25m,m,64,sp,AGC,Inan,spAGCInan4,0,0,4,100,0,NA
25m,m,64,sp,AGC,Inan,spAGCInan5,0,0,4,100,0,NA
26m,m,67,sp,DP,An,spDPAn1,1,1,1,100,0,NA
26m,m,67,sp,DP,An,spDPAn2,1,1,1,100,0,NA
26m,m,67,sp,DP,An,spDPAn3,1,1,1,100,0,NA
26m,m,67,sp,DP,An,spDPAn4,1,1,1,100,0,NA
26m,m,67,sp,DP,An,spDPAn5,1,1,1,100,0,NA
26m,m,67,sp,DP,Inan,spDPInan1,1,0,1,100,0,NA
26m,m,67,sp,DP,Inan,spDPInan2,1,0,1,100,0,NA
26m,m,67,sp,DP,Inan,spDPInan3,1,0,1,100,0,NA
26m,m,67,sp,DP,Inan,spDPInan4,1,0,1,100,0,NA
26m,m,67,sp,DP,Inan,spDPInan5,1,0,1,100,0,NA
26m,m,67,sp,Pron,An,spPronAn1,1,1,1,100,0,NA
26m,m,67,sp,Pron,An,spPronAn2,1,1,1,100,0,NA
26m,m,67,sp,Pron,An,spPronAn3,1,1,1,100,0,NA
26m,m,67,sp,Pron,An,spPronAn4,1,1,1,100,0,NA
26m,m,67,sp,Pron,An,spPronAn5,1,1,1,100,0,NA
26m,m,67,sp,Pron,Inan,spPronInan1,1,0,1,100,0,NA
26m,m,67,sp,Pron,Inan,spPronInan2,1,0,1,100,0,NA
26m,m,67,sp,Pron,Inan,spPronInan3,1,0,1,100,0,NA
26m,m,67,sp,Pron,Inan,spPronInan4,1,0,1,100,0,NA
26m,m,67,sp,Pron,Inan,spPronInan5,1,0,1,100,0,NA
26m,m,67,sp,AGC,Inan,spAGCInan1,1,1,1,100,0,NA
26m,m,67,sp,AGC,Inan,spAGCInan2,1,1,1,100,0,NA
26m,m,67,sp,AGC,Inan,spAGCInan3,1,1,1,100,0,NA
26m,m,67,sp,AGC,Inan,spAGCInan4,0,0,1,100,0,NA
26m,m,67,sp,AGC,Inan,spAGCInan5,0,0,1,100,0,NA
27m,m,61,sp,DP,An,spDPAn1,1,1,4,100,0,NA
27m,m,61,sp,DP,An,spDPAn2,1,1,4,100,0,NA
27m,m,61,sp,DP,An,spDPAn3,1,1,4,100,0,NA
27m,m,61,sp,DP,An,spDPAn4,1,1,4,100,0,NA
27m,m,61,sp,DP,An,spDPAn5,1,1,4,100,0,NA
27m,m,61,sp,DP,Inan,spDPInan1,1,0,4,100,0,NA
27m,m,61,sp,DP,Inan,spDPInan2,1,0,4,100,0,NA
27m,m,61,sp,DP,Inan,spDPInan3,1,0,4,100,0,NA
27m,m,61,sp,DP,Inan,spDPInan4,1,0,4,100,0,NA
27m,m,61,sp,DP,Inan,spDPInan5,1,0,4,100,0,NA
27m,m,61,sp,Pron,An,spPronAn1,1,1,4,100,0,NA
27m,m,61,sp,Pron,An,spPronAn2,1,1,4,100,0,NA
27m,m,61,sp,Pron,An,spPronAn3,1,1,4,100,0,NA
27m,m,61,sp,Pron,An,spPronAn4,1,1,4,100,0,NA
27m,m,61,sp,Pron,An,spPronAn5,1,1,4,100,0,NA
27m,m,61,sp,Pron,Inan,spPronInan1,1,0,4,100,0,NA
27m,m,61,sp,Pron,Inan,spPronInan2,1,0,4,100,0,NA
27m,m,61,sp,Pron,Inan,spPronInan3,1,0,4,100,0,NA
27m,m,61,sp,Pron,Inan,spPronInan4,1,0,4,100,0,NA
27m,m,61,sp,Pron,Inan,spPronInan5,1,0,4,100,0,NA
27m,m,61,sp,AGC,Inan,spAGCInan1,1,1,4,100,0,NA
27m,m,61,sp,AGC,Inan,spAGCInan2,1,1,4,100,0,NA
27m,m,61,sp,AGC,Inan,spAGCInan3,1,1,4,100,0,NA
27m,m,61,sp,AGC,Inan,spAGCInan4,0,0,4,100,0,NA
27m,m,61,sp,AGC,Inan,spAGCInan5,0,0,4,100,0,NA
28m,m,62,sp,DP,An,spDPAn1,1,1,1,100,0,NA
28m,m,62,sp,DP,An,spDPAn2,1,1,1,100,0,NA
28m,m,62,sp,DP,An,spDPAn3,1,1,1,100,0,NA
28m,m,62,sp,DP,An,spDPAn4,1,1,1,100,0,NA
28m,m,62,sp,DP,An,spDPAn5,1,1,1,100,0,NA
28m,m,62,sp,DP,Inan,spDPInan1,1,0,1,100,0,NA
28m,m,62,sp,DP,Inan,spDPInan2,1,0,1,100,0,NA
28m,m,62,sp,DP,Inan,spDPInan3,1,0,1,100,0,NA
28m,m,62,sp,DP,Inan,spDPInan4,1,0,1,100,0,NA
28m,m,62,sp,DP,Inan,spDPInan5,1,0,1,100,0,NA
28m,m,62,sp,Pron,An,spPronAn1,1,1,1,100,0,NA
28m,m,62,sp,Pron,An,spPronAn2,1,1,1,100,0,NA
28m,m,62,sp,Pron,An,spPronAn3,1,1,1,100,0,NA
28m,m,62,sp,Pron,An,spPronAn4,1,1,1,100,0,NA
28m,m,62,sp,Pron,An,spPronAn5,1,1,1,100,0,NA
28m,m,62,sp,Pron,Inan,spPronInan1,1,0,1,100,0,NA
28m,m,62,sp,Pron,Inan,spPronInan2,1,0,1,100,0,NA
28m,m,62,sp,Pron,Inan,spPronInan3,1,0,1,100,0,NA
28m,m,62,sp,Pron,Inan,spPronInan4,1,0,1,100,0,NA
28m,m,62,sp,Pron,Inan,spPronInan5,1,0,1,100,0,NA
28m,m,62,sp,AGC,Inan,spAGCInan1,1,1,1,100,0,NA
28m,m,62,sp,AGC,Inan,spAGCInan2,1,1,1,100,0,NA
28m,m,62,sp,AGC,Inan,spAGCInan3,1,1,1,100,0,NA
28m,m,62,sp,AGC,Inan,spAGCInan4,0,0,1,100,0,NA
28m,m,62,sp,AGC,Inan,spAGCInan5,0,0,1,100,0,NA
29m,m,64,sp,DP,An,spDPAn1,1,1,2,100,0,NA
29m,m,64,sp,DP,An,spDPAn2,1,1,2,100,0,NA
29m,m,64,sp,DP,An,spDPAn3,1,1,2,100,0,NA
29m,m,64,sp,DP,An,spDPAn4,1,1,2,100,0,NA
29m,m,64,sp,DP,An,spDPAn5,1,1,2,100,0,NA
29m,m,64,sp,DP,Inan,spDPInan1,1,0,2,100,0,NA
29m,m,64,sp,DP,Inan,spDPInan2,1,0,2,100,0,NA
29m,m,64,sp,DP,Inan,spDPInan3,1,0,2,100,0,NA
29m,m,64,sp,DP,Inan,spDPInan4,1,0,2,100,0,NA
29m,m,64,sp,DP,Inan,spDPInan5,1,0,2,100,0,NA
29m,m,64,sp,Pron,An,spPronAn1,1,1,2,100,0,NA
29m,m,64,sp,Pron,An,spPronAn2,1,1,2,100,0,NA
29m,m,64,sp,Pron,An,spPronAn3,1,1,2,100,0,NA
29m,m,64,sp,Pron,An,spPronAn4,1,1,2,100,0,NA
29m,m,64,sp,Pron,An,spPronAn5,1,1,2,100,0,NA
29m,m,64,sp,Pron,Inan,spPronInan1,1,0,2,100,0,NA
29m,m,64,sp,Pron,Inan,spPronInan2,1,0,2,100,0,NA
29m,m,64,sp,Pron,Inan,spPronInan3,1,0,2,100,0,NA
29m,m,64,sp,Pron,Inan,spPronInan4,1,0,2,100,0,NA
29m,m,64,sp,Pron,Inan,spPronInan5,1,0,2,100,0,NA
29m,m,64,sp,AGC,Inan,spAGCInan1,1,1,2,100,0,NA
29m,m,64,sp,AGC,Inan,spAGCInan2,1,1,2,100,0,NA
29m,m,64,sp,AGC,Inan,spAGCInan3,1,1,2,100,0,NA
29m,m,64,sp,AGC,Inan,spAGCInan4,0,0,2,100,0,NA
29m,m,64,sp,AGC,Inan,spAGCInan5,0,0,2,100,0,NA
30m,m,63,sp,DP,An,spDPAn1,1,1,2,100,0,NA
30m,m,63,sp,DP,An,spDPAn2,1,1,2,100,0,NA
30m,m,63,sp,DP,An,spDPAn3,1,1,2,100,0,NA
30m,m,63,sp,DP,An,spDPAn4,1,1,2,100,0,NA
30m,m,63,sp,DP,An,spDPAn5,1,1,2,100,0,NA
30m,m,63,sp,DP,Inan,spDPInan1,1,0,2,100,0,NA
30m,m,63,sp,DP,Inan,spDPInan2,1,0,2,100,0,NA
30m,m,63,sp,DP,Inan,spDPInan3,1,0,2,100,0,NA
30m,m,63,sp,DP,Inan,spDPInan4,1,0,2,100,0,NA
30m,m,63,sp,DP,Inan,spDPInan5,1,0,2,100,0,NA
30m,m,63,sp,Pron,An,spPronAn1,1,1,2,100,0,NA
30m,m,63,sp,Pron,An,spPronAn2,1,1,2,100,0,NA
30m,m,63,sp,Pron,An,spPronAn3,1,1,2,100,0,NA
30m,m,63,sp,Pron,An,spPronAn4,1,1,2,100,0,NA
30m,m,63,sp,Pron,An,spPronAn5,1,1,2,100,0,NA
30m,m,63,sp,Pron,Inan,spPronInan1,1,0,2,100,0,NA
30m,m,63,sp,Pron,Inan,spPronInan2,1,0,2,100,0,NA
30m,m,63,sp,Pron,Inan,spPronInan3,1,0,2,100,0,NA
30m,m,63,sp,Pron,Inan,spPronInan4,1,0,2,100,0,NA
30m,m,63,sp,Pron,Inan,spPronInan5,1,0,2,100,0,NA
30m,m,63,sp,AGC,Inan,spAGCInan1,1,1,2,100,0,NA
30m,m,63,sp,AGC,Inan,spAGCInan2,1,1,2,100,0,NA
30m,m,63,sp,AGC,Inan,spAGCInan3,1,1,2,100,0,NA
30m,m,63,sp,AGC,Inan,spAGCInan4,0,0,2,100,0,NA
30m,m,63,sp,AGC,Inan,spAGCInan5,0,0,2,100,0,NA
31m,m,62,sp,DP,An,spDPAn1,1,1,4,100,0,NA
31m,m,62,sp,DP,An,spDPAn2,1,1,4,100,0,NA
31m,m,62,sp,DP,An,spDPAn3,1,1,4,100,0,NA
31m,m,62,sp,DP,An,spDPAn4,1,1,4,100,0,NA
31m,m,62,sp,DP,An,spDPAn5,1,1,4,100,0,NA
31m,m,62,sp,DP,Inan,spDPInan1,1,0,4,100,0,NA
31m,m,62,sp,DP,Inan,spDPInan2,1,0,4,100,0,NA
31m,m,62,sp,DP,Inan,spDPInan3,1,0,4,100,0,NA
31m,m,62,sp,DP,Inan,spDPInan4,1,0,4,100,0,NA
31m,m,62,sp,DP,Inan,spDPInan5,1,0,4,100,0,NA
31m,m,62,sp,Pron,An,spPronAn1,1,1,4,100,0,NA
31m,m,62,sp,Pron,An,spPronAn2,1,1,4,100,0,NA
31m,m,62,sp,Pron,An,spPronAn3,1,1,4,100,0,NA
31m,m,62,sp,Pron,An,spPronAn4,1,1,4,100,0,NA
31m,m,62,sp,Pron,An,spPronAn5,1,1,4,100,0,NA
31m,m,62,sp,Pron,Inan,spPronInan1,1,0,4,100,0,NA
31m,m,62,sp,Pron,Inan,spPronInan2,1,0,4,100,0,NA
31m,m,62,sp,Pron,Inan,spPronInan3,1,0,4,100,0,NA
31m,m,62,sp,Pron,Inan,spPronInan4,1,0,4,100,0,NA
31m,m,62,sp,Pron,Inan,spPronInan5,1,0,4,100,0,NA
31m,m,62,sp,AGC,Inan,spAGCInan1,1,1,4,100,0,NA
31m,m,62,sp,AGC,Inan,spAGCInan2,1,1,4,100,0,NA
31m,m,62,sp,AGC,Inan,spAGCInan3,1,1,4,100,0,NA
31m,m,62,sp,AGC,Inan,spAGCInan4,0,0,4,100,0,NA
31m,m,62,sp,AGC,Inan,spAGCInan5,0,0,4,100,0,NA
32m,m,65,sp,DP,An,spDPAn1,1,1,2,100,0,NA
32m,m,65,sp,DP,An,spDPAn2,1,1,2,100,0,NA
32m,m,65,sp,DP,An,spDPAn3,1,1,2,100,0,NA
32m,m,65,sp,DP,An,spDPAn4,1,1,2,100,0,NA
32m,m,65,sp,DP,An,spDPAn5,1,1,2,100,0,NA
32m,m,65,sp,DP,Inan,spDPInan1,1,0,2,100,0,NA
32m,m,65,sp,DP,Inan,spDPInan2,1,0,2,100,0,NA
32m,m,65,sp,DP,Inan,spDPInan3,1,0,2,100,0,NA
32m,m,65,sp,DP,Inan,spDPInan4,1,0,2,100,0,NA
32m,m,65,sp,DP,Inan,spDPInan5,1,0,2,100,0,NA
32m,m,65,sp,Pron,An,spPronAn1,1,1,2,100,0,NA
32m,m,65,sp,Pron,An,spPronAn2,1,1,2,100,0,NA
32m,m,65,sp,Pron,An,spPronAn3,1,1,2,100,0,NA
32m,m,65,sp,Pron,An,spPronAn4,1,1,2,100,0,NA
32m,m,65,sp,Pron,An,spPronAn5,1,1,2,100,0,NA
32m,m,65,sp,Pron,Inan,spPronInan1,1,0,2,100,0,NA
32m,m,65,sp,Pron,Inan,spPronInan2,1,0,2,100,0,NA
32m,m,65,sp,Pron,Inan,spPronInan3,1,0,2,100,0,NA
32m,m,65,sp,Pron,Inan,spPronInan4,1,0,2,100,0,NA
32m,m,65,sp,Pron,Inan,spPronInan5,1,0,2,100,0,NA
32m,m,65,sp,AGC,Inan,spAGCInan1,1,1,2,100,0,NA
32m,m,65,sp,AGC,Inan,spAGCInan2,1,1,2,100,0,NA
32m,m,65,sp,AGC,Inan,spAGCInan3,1,1,2,100,0,NA
32m,m,65,sp,AGC,Inan,spAGCInan4,0,0,2,100,0,NA
32m,m,65,sp,AGC,Inan,spAGCInan5,0,0,2,100,0,NA
33m,m,60,sp,DP,An,spDPAn1,1,1,2,100,0,NA
33m,m,60,sp,DP,An,spDPAn2,1,1,2,100,0,NA
33m,m,60,sp,DP,An,spDPAn3,1,1,2,100,0,NA
33m,m,60,sp,DP,An,spDPAn4,1,1,2,100,0,NA
33m,m,60,sp,DP,An,spDPAn5,1,1,2,100,0,NA
33m,m,60,sp,DP,Inan,spDPInan1,1,0,2,100,0,NA
33m,m,60,sp,DP,Inan,spDPInan2,1,0,2,100,0,NA
33m,m,60,sp,DP,Inan,spDPInan3,1,0,2,100,0,NA
33m,m,60,sp,DP,Inan,spDPInan4,1,0,2,100,0,NA
33m,m,60,sp,DP,Inan,spDPInan5,1,0,2,100,0,NA
33m,m,60,sp,Pron,An,spPronAn1,1,1,2,100,0,NA
33m,m,60,sp,Pron,An,spPronAn2,1,1,2,100,0,NA
33m,m,60,sp,Pron,An,spPronAn3,1,1,2,100,0,NA
33m,m,60,sp,Pron,An,spPronAn4,1,1,2,100,0,NA
33m,m,60,sp,Pron,An,spPronAn5,1,1,2,100,0,NA
33m,m,60,sp,Pron,Inan,spPronInan1,1,0,2,100,0,NA
33m,m,60,sp,Pron,Inan,spPronInan2,1,0,2,100,0,NA
33m,m,60,sp,Pron,Inan,spPronInan3,1,0,2,100,0,NA
33m,m,60,sp,Pron,Inan,spPronInan4,1,0,2,100,0,NA
33m,m,60,sp,Pron,Inan,spPronInan5,1,0,2,100,0,NA
33m,m,60,sp,AGC,Inan,spAGCInan1,1,1,2,100,0,NA
33m,m,60,sp,AGC,Inan,spAGCInan2,1,1,2,100,0,NA
33m,m,60,sp,AGC,Inan,spAGCInan3,1,1,2,100,0,NA
33m,m,60,sp,AGC,Inan,spAGCInan4,0,0,2,100,0,NA
33m,m,60,sp,AGC,Inan,spAGCInan5,0,0,2,100,0,NA
34m,m,66,sp,DP,An,spDPAn1,1,1,4,100,0,NA
34m,m,66,sp,DP,An,spDPAn2,1,1,4,100,0,NA
34m,m,66,sp,DP,An,spDPAn3,1,1,4,100,0,NA
34m,m,66,sp,DP,An,spDPAn4,1,1,4,100,0,NA
34m,m,66,sp,DP,An,spDPAn5,1,1,4,100,0,NA
34m,m,66,sp,DP,Inan,spDPInan1,1,0,4,100,0,NA
34m,m,66,sp,DP,Inan,spDPInan2,1,0,4,100,0,NA
34m,m,66,sp,DP,Inan,spDPInan3,1,0,4,100,0,NA
34m,m,66,sp,DP,Inan,spDPInan4,1,0,4,100,0,NA
34m,m,66,sp,DP,Inan,spDPInan5,1,0,4,100,0,NA
34m,m,66,sp,Pron,An,spPronAn1,1,1,4,100,0,NA
34m,m,66,sp,Pron,An,spPronAn2,1,1,4,100,0,NA
34m,m,66,sp,Pron,An,spPronAn3,1,1,4,100,0,NA
34m,m,66,sp,Pron,An,spPronAn4,1,1,4,100,0,NA
34m,m,66,sp,Pron,An,spPronAn5,1,1,4,100,0,NA
34m,m,66,sp,Pron,Inan,spPronInan1,1,0,4,100,0,NA
34m,m,66,sp,Pron,Inan,spPronInan2,1,0,4,100,0,NA
34m,m,66,sp,Pron,Inan,spPronInan3,1,0,4,100,0,NA
34m,m,66,sp,Pron,Inan,spPronInan4,1,0,4,100,0,NA
34m,m,66,sp,Pron,Inan,spPronInan5,1,0,4,100,0,NA
34m,m,66,sp,AGC,Inan,spAGCInan1,1,1,4,100,0,NA
34m,m,66,sp,AGC,Inan,spAGCInan2,1,1,4,100,0,NA
34m,m,66,sp,AGC,Inan,spAGCInan3,1,1,4,100,0,NA
34m,m,66,sp,AGC,Inan,spAGCInan4,0,0,4,100,0,NA
34m,m,66,sp,AGC,Inan,spAGCInan5,0,0,4,100,0,NA
35m,m,62,sp,DP,An,spDPAn1,1,1,5,100,0,NA
35m,m,62,sp,DP,An,spDPAn2,1,1,5,100,0,NA
35m,m,62,sp,DP,An,spDPAn3,1,1,5,100,0,NA
35m,m,62,sp,DP,An,spDPAn4,1,1,5,100,0,NA
35m,m,62,sp,DP,An,spDPAn5,1,1,5,100,0,NA
35m,m,62,sp,DP,Inan,spDPInan1,1,0,5,100,0,NA
35m,m,62,sp,DP,Inan,spDPInan2,1,0,5,100,0,NA
35m,m,62,sp,DP,Inan,spDPInan3,1,0,5,100,0,NA
